Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
Hij werd gestimuleerd, kreeg mond- en neusbloedingen, en werd vervolgens beademd met een beademingsmasker. 	 De patiënt kreeg geen medische zorg na de bevalling. 	 contradiction 
Hij werd gestimuleerd, kreeg mond- en neusbloedingen, en werd vervolgens beademd met een beademingsmasker. 	 De patient is geboren na een normale spontane vaginale bevalling. 	 neutral 
Het geboortegewicht van het kind was 2.350 gram. 	 de patiënt heeft een laag geboortegewicht 	 entailment 
Het geboortegewicht van het kind was 2.350 gram. 	 de patiënt heeft een normaal geboortegewicht 	 contradiction 
Het geboortegewicht van het kind was 2.350 gram. 	 de patiënt te vroeg is 	 neutral 
Patiënt werd sulpine gegeven en DCCV van 200J met terugkeer naar een narrige volledige tachycardie van ~140. 	 De patiënt had een brede complexe tachycardie 	 entailment 
Patiënt werd sulpine gegeven en DCCV van 200J met terugkeer naar een narrige volledige tachycardie van ~140. 	 de patiënt is bradycardisch 	 contradiction 
Patiënt werd sulpine gegeven en DCCV van 200J met terugkeer naar een narrige volledige tachycardie van ~140. 	 de patiënt heeft verhoogde troponines 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Dit is een 22-jarige man die de bestuurder zonder gordel was bij een auto-ongeluk. 	 Hij had geen gordel om tijdens een auto-ongeluk 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Het gaat om een 22-jarige man die de bestuurder zonder gordel was bij een auto-ongeval. 	 Hij had zijn gordel om tijdens een auto-ongeluk 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: Het gaat om een 22-jarige man die de bestuurder zonder gordel was bij een auto-ongeval. 	 Hij heeft hoofdletsel opgelopen 	 neutral 
TTE was negatief voor pericardiale effusie. 	 patiënt heeft geen pericardiale effusie 	 entailment 
TTE was negatief voor pericardiale effusie. 	 patiënt heeft tamponade 	 contradiction 
TTE was negatief voor pericardiale effusie. 	 patiënt heeft hartfalen 	 neutral 
Pt was aanvankelijk overbelast met vloeistof en werd agressief gediureert, terwijl de etiologie van vermoedelijke pneumonie werd gezocht. 	 Patiënt heeft longoedeem 	 entailment 
Pt was aanvankelijk overbelast met vloeistof en werd agressief gediureert, terwijl de etiologie van vermoedelijke pneumonie werd gezocht. 	 Patiënt heeft normale Cr 	 contradiction 
Pt was aanvankelijk overbelast met vloeistof en werd agressief gediureert, terwijl de etiologie van vermoedelijke pneumonie werd gezocht. 	 Patiënt heeft CHF 	 neutral 
Vitale functies waren toen 98,8F, 140, 70/43 89%RA. 	 De patiënt was buiten bewustzijn. 	 entailment 
Vitale functies waren toen 98,8F, 140, 70/43 89%RA. 	 De patient is normotensief. 	 contradiction 
Vitale functies waren toen 98,8F, 140, 70/43 89%RA. 	 De patiënt is in cardiogene shock. 	 neutral 
1 liter infuusvloeistof, getypt en doorgestoken voor 2 eenheden. 	 de patiënt heeft bloedarmoede 	 entailment 
1 liter infuusvloeistof, getypt en doorgestoken voor 2 eenheden. 	 de patiënt is hypervolemisch 	 contradiction 
1 liter infuusvloeistof, getypt en doorgestoken voor 2 eenheden. 	 de patiënt is hemodynamisch onstabiel 	 neutral 
Twee eenheden FFP werden toegediend voorafgaand aan een diagnostische paracentesis die naar verluidt ~2300 WBC met 87% PMN aantoonde. 	 Patiënt heeft een interventie ondergaan 	 entailment 
Twee eenheden FFP werden toegediend voorafgaand aan een diagnostische paracentesis die naar verluidt ~2300 WBC met 87% PMN aantoonde. 	 De patiënt heeft een normaal stollingsprofiel 	 contradiction 
Twee eenheden FFP werden toegediend voorafgaand aan een diagnostische paracentesis die naar verluidt ~2300 WBC met 87% PMN aantoonde. 	 Patiënt heeft lage PT 	 neutral 
[**Kennis patiënt achternaam 9029**] is een 63-jarige man met een medische voorgeschiedenis significant voor erosieve gastritis ( EGD [**10/2703**]), aortastenose met 3 x [**Jaar (4 cijfers) 4001**] (laatste mechanische klep geplaatst in [**2703**])op coumadin thuis, depressie, HTN, en hyperlipidemie die zich presenteerde in [**Ziekenhuis1 52**] [**Locatie (un) 240**] met klachten van melanotische ontlasting x 2 dagen. 	 De patiënt heeft meerdere medische aandoeningen 	 entailment 
[**Kennis patiënt achternaam 9029**] is een 63-jarige man met een medische voorgeschiedenis significant voor erosieve gastritis ( EGD [**10/2703**]), aortastenose met 3 x [**Jaar (4 cijfers) 4001**] (laatste mechanische klep geplaatst in [**2703**])op coumadin thuis, depressie, HTN, en hyperlipidemie die zich presenteerde in [**Ziekenhuis1 52**] [**Locatie (un) 240**] met klachten van melanotische ontlasting x 2 dagen. 	 Hij heeft geen chirurgische geschiedenis 	 contradiction 
[**Kennis patiënt achternaam 9029**] is een 63-jarige man met een medische voorgeschiedenis significant voor erosieve gastritis ( EGD [**10/2703**]), aortastenose met 3 x [**Jaar (4 cijfers) 4001**] (laatste mechanische klep geplaatst in [**2703**])op coumadin thuis, depressie, HTN, en hyperlipidemie die zich presenteerde in [**Ziekenhuis1 52**] [**Locatie (un) 240**] met klachten van melanotische ontlasting x 2 dagen. 	 Hij heeft bloedarmoede. 	 neutral 
Echografieën hebben een structureel normale foetus laten zien. 	 Echo's werden gemaakt van de foetus 	 entailment 
Echografieën hebben een structureel normale foetus laten zien. 	 Echografieën tonen neurale buisdefect 	 contradiction 
Echografieën hebben een structureel normale foetus laten zien. 	 De foetus heeft geen aangeboren afwijking 	 neutral 
Hij gebruikt niet elke nacht Lantus, en gebruikt 1-2 keer per dag Humalog. 	 De patiënt heeft diabetes. 	 entailment 
Hij gebruikt niet elke nacht Lantus, en gebruikt 1-2 keer per dag Humalog. 	 De patiënt heeft voldoende insuline productie. 	 contradiction 
Hij gebruikt niet elke nacht Lantus, en gebruikt 1-2 keer per dag Humalog. 	 De patiënt heeft diabetes type 1. 	 neutral 
Hij was vorige maand nog opgenomen wegens koorts en een verergerende hoest, waarvan het onderzoek niets opleverde. 	 De patient heeft koorts gehad. 	 entailment 
Hij was vorige maand nog opgenomen wegens koorts en een verergerende hoest, waarvan het onderzoek niets opleverde. 	 De patiënt heeft een bekende infectie. 	 contradiction 
Hij was vorige maand nog opgenomen wegens koorts en een verergerende hoest, waarvan het onderzoek niets opleverde. 	 De patiënt heeft koorts van onbekende oorsprong. 	 neutral 
Ze kreeg 40 mg IV lasix met minimale reactie. 	 Geen verandering in conditie na behandeling met diureticum 	 entailment 
Ze kreeg 40 mg IV lasix met minimale reactie. 	 Ze reageerde goed op het diureticum 	 contradiction 
Ze kreeg 40 mg IV lasix met minimale reactie. 	 Ze heeft oedeem 	 neutral 
Suprarenaal IVC-filter geplaatst op [**2683-12-21**] (groot infrarenaal IVC-stolsel en trombose van linker common iliacale ader en linker femorale ader gezien op dat moment) 6. 	 De patiënt heeft een procedure met interventieradiologie ondergaan 	 entailment 
Suprarenaal IVC-filter geplaatst op [**2683-12-21**] (groot infrarenaal IVC-stolsel en trombose van linker common iliacale ader en linker femorale ader gezien op dat moment) 6. 	 De patiënt heeft nog nooit een stolsel gehad 	 contradiction 
Suprarenaal IVC-filter geplaatst op [**2683-12-21**] (groot infrarenaal IVC-stolsel en trombose van linker common iliacale ader en linker femorale ader gezien op dat moment) 6. 	 De patiënt heeft PE gehad 	 neutral 
Labs opmerkelijk voor verhoogde WBC 13,8, lactaat 2,9, verhoogde BNP. 	 de patiënt heeft leukocytose 	 entailment 
Labs opmerkelijk voor verhoogde WBC 13,8, lactaat 2,9, verhoogde BNP. 	 de patiënt heeft normale WBC aantallen 	 contradiction 
Labs opmerkelijk voor verhoogde WBC 13,8, lactaat 2,9, verhoogde BNP. 	 de patiënt septisch is 	 neutral 
rechterbundeltakblok rechter fasciitis plantaris borderline hypertensie migraine/visusstoornis Meniere's dz 	 de patiënt heeft meerdere medische problemen 	 entailment 
rechterbundeltakblok rechter fasciitis plantaris borderline hypertensie migraine/visusstoornis Meniere's dz 	 de patiënt heeft geen medische voorgeschiedenis 	 contradiction 
rechterbundeltakblok rechter fasciitis plantaris borderline hypertensie migraine/visusstoornis Meniere's dz 	 de patiënt pijn op de borst heeft 	 neutral 
Hij werd doorgestuurd voor een hoofd CT, Neurologie werd gebeld. 	 De patiënt heeft een vermoedelijke neurologische aandoening. 	 entailment 
Hij werd doorgestuurd voor een hoofd CT, Neurologie werd gebeld. 	 De patiënt hoeft geen CT van het hoofd te ondergaan. 	 contradiction 
Hij werd doorgestuurd voor een hoofd CT, Neurologie werd gebeld. 	 De patiënt heeft een beroerte gehad. 	 neutral 
Men denkt dat zij hepatitis C heeft opgelopen door transfusies in het verleden. 	 de patiënt hepatitis C heeft 	 entailment 
Men denkt dat zij hepatitis C heeft opgelopen door transfusies in het verleden. 	 de patiënt heeft geen voorgeschiedenis van hepatitis 	 contradiction 
Men denkt dat zij hepatitis C heeft opgelopen door transfusies in het verleden. 	 de patiënt is cirrotisch 	 neutral 
Extraoculaire spieren zijn vol, geen nystagmus. 	 Oogbewegingen waren intact 	 entailment 
Extraoculaire spieren zijn vol, geen nystagmus. 	 Oogonderzoek was abnormaal 	 contradiction 
Extraoculaire spieren zijn vol, geen nystagmus. 	 Neurologisch en oogonderzoek was normaal 	 neutral 
Ze heeft een KUB laten doen in het revalidatiecentrum. 	 De patiënt had een abdominale röntgenfoto 	 entailment 
Ze heeft een KUB laten doen in het revalidatiecentrum. 	 Er is geen beeldvorming verricht. 	 contradiction 
Ze heeft een KUB laten doen in het revalidatiecentrum. 	 De patiënt had een darmobstructie 	 neutral 
De patiënt kwam op de ochtend van de overplaatsing naar [**Ziekenhuis1 **] met klachten over toenemende kortademigheid gedurende de afgelopen 1,5 week. 	 De patiënt heeft moeite met ademhalen 	 entailment 
De patiënt kwam op de ochtend van de overplaatsing naar [**Ziekenhuis1 **] met klachten over toenemende kortademigheid gedurende de afgelopen 1,5 week. 	 De patiënt klaagt niet over ademhalingsmoeilijkheden 	 contradiction 
De patiënt kwam op de ochtend van de overplaatsing naar [**Ziekenhuis1 **] met klachten over toenemende kortademigheid gedurende de afgelopen 1,5 week. 	 De patient heeft een geschiedenis van DVTs. 	 neutral 
DVT/PE [**10-1**] IVC filter geplaatst op [**3301-10-31**]. 	 De patiënt heeft een inferior vena cava filter als gevolg van bloedstolsels 	 entailment 
DVT/PE [**10-1**] IVC filter geplaatst op [**3301-10-31**]. 	 De patiënt heeft geen voorgeschiedenis van bloedstolsels 	 contradiction 
DVT/PE [**10-1**] IVC filter geplaatst op [**3301-10-31**]. 	 De patiënt heeft een beperkte mobiliteit 	 neutral 
71yo vrouw met bekende aorta stenose. 	 De patiënt heeft een hartziekte 	 entailment 
71yo vrouw met bekende aorta stenose. 	 De patiënt heeft een normale hartfunctie 	 contradiction 
71yo vrouw met bekende aorta stenose. 	 De patiënt heeft een voorgeschiedenis van pijn op de borst 	 neutral 
Bij aankomst op de Intensive Care waren de vitale functies van de patiënt: bloeddruk 120/78, hartslag 88, ademhaling 8, en zij lag voor 97% aan de beademing. 	 De patiënt heeft normale vitale functies. 	 entailment 
Bij aankomst op de Intensive Care waren de vitale functies van de patiënt: bloeddruk 120/78, hartslag 88, ademhaling 8, en zij lag voor 97% aan de beademing. 	 De patiënt is niet geïntubeerd. 	 contradiction 
Bij aankomst op de Intensive Care waren de vitale functies van de patiënt: bloeddruk 120/78, hartslag 88, ademhaling 8, en zij lag voor 97% aan de beademing. 	 Patiënt heeft kanker 	 neutral 
Hoofdomtrek 34 cm, 50e percentiel. 	 Hoofdomtrek is gemiddeld 	 entailment 
Hoofdomtrek 34 cm, 50e percentiel. 	 Hoofdomtrek is 99ste percentiel 	 contradiction 
Hoofdomtrek 34 cm, 50e percentiel. 	 Lengte is 50e percentiel 	 neutral 
Ze had acuut nierfalen en positieve CK en troponine. 	 De patiënt is niet in staat om gifstoffen uit te scheiden via haar nieren. 	 entailment 
Ze had acuut nierfalen en positieve CK en troponine. 	 De patiënt heeft een normale creatinine. 	 contradiction 
Ze had acuut nierfalen en positieve CK en troponine. 	 De patiënt had een acuut myocard infarct. 	 neutral 
Op de dag van opname in het verpleeghuis werd geconstateerd dat zijn linker perc nefrostomie naar buiten was getrokken en werd hij naar [**Ziekenhuis1 22**] gebracht waar de IR zijn tube ~1:30 uur verving. 	 De patiënt had een recente operatie aan zijn linker nier 	 entailment 
Op de dag van opname in het verpleeghuis werd geconstateerd dat zijn linker perc nefrostomie naar buiten was getrokken en werd hij naar [**Ziekenhuis1 22**] gebracht waar de IR zijn tube ~1:30 uur verving. 	 De patiënt heeft geen chirurgische voorgeschiedenis en geen voorgeschiedenis van urogenitale problemen 	 contradiction 
Op de dag van opname in het verpleeghuis werd geconstateerd dat zijn linker perc nefrostomie naar buiten was getrokken en werd hij naar [**Ziekenhuis1 22**] gebracht waar de IR zijn tube ~1:30 uur verving. 	 De patiënt heeft een verhoogde creatinine 	 neutral 
Geen recente valpartijen of verwondingen. 	 Geen recent hoofdletsel door een val 	 entailment 
Geen recente valpartijen of verwondingen. 	 Recent hoofdtrauma door een val 	 contradiction 
Geen recente valpartijen of verwondingen. 	 Geen recente syncope 	 neutral 
- DMII gecompliceerd door DM neuropathie - PVD s/p L CFA met ballon angioplastiek van SFA en AK [**Doctor Achternaam **] slagader met aanhoudend niet-genezend ulcus aan de laterale en mediale malleolus, niet-genezend ulcus L pedaal - Hypertensie - o.a. MDR Psuedomonas en MRSA huidinfecties - o.a. hemorrhagische pancreatitis ([**2857**]) - o.a. cholecystitis (heeft nog galblaas) 	 De patiënt heeft meerdere diabetes gerelateerde comorbiteiten. 	 entailment 
- DMII gecompliceerd door DM neuropathie - PVD s/p L CFA met ballon angioplastiek van SFA en AK [**Doctor Achternaam **] slagader met aanhoudend niet-genezend ulcus aan de laterale en mediale malleolus, niet-genezend ulcus L pedaal - Hypertensie - o.a. MDR Psuedomonas en MRSA huidinfecties - o.a. hemorrhagische pancreatitis ([**2857**]) - o.a. cholecystitis (heeft nog galblaas) 	 De patiënt heeft een goed gecontroleerde diabetes. 	 contradiction 
- DMII gecompliceerd door DM neuropathie - PVD s/p L CFA met ballon angioplastiek van SFA en AK [**Doctor Achternaam **] slagader met aanhoudend niet-genezend ulcus aan de laterale en mediale malleolus, niet-genezend ulcus L pedaal - Hypertensie - o.a. MDR Psuedomonas en MRSA huidinfecties - o.a. hemorrhagische pancreatitis ([**2857**]) - o.a. cholecystitis (heeft nog galblaas) 	 De patiënt heeft een hartkwaal. 	 neutral 
Ze werd thuis verder behandeld met een antihypertensivum. 	 De patiënt heeft hoge bloeddruk. 	 entailment 
Ze werd thuis verder behandeld met een antihypertensivum. 	 De patiënt heeft een normale bloeddruk. 	 contradiction 
Ze werd thuis verder behandeld met een antihypertensivum. 	 De patiënt slikt meerdere anti hypertensiva. 	 neutral 
Zij heeft nu 2 nieuwe laesies, een laesie van 5 cm in segment 3 van de lever en een laesie van 1,5 cm in segment 8. 	 De patiënt heeft letsel aan de lever 	 entailment 
Zij heeft nu 2 nieuwe laesies, een laesie van 5 cm in segment 3 van de lever en een laesie van 1,5 cm in segment 8. 	 De patiënt heeft een normale lever op US 	 contradiction 
Zij heeft nu 2 nieuwe laesies, een laesie van 5 cm in segment 3 van de lever en een laesie van 1,5 cm in segment 8. 	 Patiënt heeft kanker 	 neutral 
Vanwege zijn pijn in de rechterschouder en enige daarmee gepaard gaande zwakte, verhoogde witte bloedcellen maar geen koorts, bezorgdheid voor een epiduraal abces na neurochirurgisch consult, werd de patiënt overgebracht naar [**Ziekenhuis1 341**] voor verdere behandeling. 	 Er is kans op een infectie in het wervelkanaal. 	 entailment 
Vanwege zijn pijn in de rechterschouder en enige daarmee gepaard gaande zwakte, verhoogde witte bloedcellen maar geen koorts, bezorgdheid voor een epiduraal abces na neurochirurgisch consult, werd de patiënt overgebracht naar [**Ziekenhuis1 341**] voor verdere behandeling. 	 De patiënt heeft volledige kracht in de bovenste ledematen. 	 contradiction 
Vanwege zijn pijn in de rechterschouder en enige daarmee gepaard gaande zwakte, verhoogde witte bloedcellen maar geen koorts, bezorgdheid voor een epiduraal abces na neurochirurgisch consult, werd de patiënt overgebracht naar [**Ziekenhuis1 341**] voor verdere behandeling. 	 De patiënt is een intraveneuze drugsgebruiker. 	 neutral 
De patiënt werd succesvol van de pressors afgeholpen met agressieve IVF toediening. 	 De patiënt kreeg intraveneuze vloeistoffen 	 entailment 
De patiënt werd succesvol van de pressors afgeholpen met agressieve IVF toediening. 	 De patiënt was niet in staat om van de vasopressor medicatie af te komen 	 contradiction 
De patiënt werd succesvol van de pressors afgeholpen met agressieve IVF toediening. 	 De vitale functies van de patiënt waren binnen de normale grenzen na agressieve IV-vloeistoffen 	 neutral 
Lichte cognitieve stoornis 5. 	 achteruitgang van de mentale functie 	 entailment 
Lichte cognitieve stoornis 5. 	 Ernstige dementie als gevolg van de ziekte van Alzheimer 	 contradiction 
Lichte cognitieve stoornis 5. 	 De patiënt is niet in staat om ADLs uit te voeren 	 neutral 
Hij is in status na een transurethrale resectie van de prostaat ongeveer een jaar geleden. 	 De patiënt heeft goedaardige prostaathypertrofie. 	 entailment 
Hij is in status na een transurethrale resectie van de prostaat ongeveer een jaar geleden. 	 De patiënt heeft een normale prostaat. 	 contradiction 
Hij is in status na een transurethrale resectie van de prostaat ongeveer een jaar geleden. 	 De patiënt heeft urine incontinentie. 	 neutral 
Milde psoriasis. . 	 Een dermatologische aandoening. 	 entailment 
Milde psoriasis. . 	 Het meest voorkomende gebied waar psoriasis optreedt zijn de tenen. 	 contradiction 
Milde psoriasis. . 	 Een aandoening die wordt behandeld met topische steroïden. 	 neutral 
Hij is gevolgd door Dr. [**Laatse naam (STitel) 21267**] van Podiatrie voor chronische MTP ulcus aan de eerste teen, die nu aan het oplossen is. 	 Hij had een chronische wond aan zijn teen 	 entailment 
Hij is gevolgd door Dr. [**Laatse naam (STitel) 21267**] van Podiatrie voor chronische MTP ulcus aan de eerste teen, die nu aan het oplossen is. 	 Hij heeft geen geschiedenis van chronische wonden 	 contradiction 
Hij is gevolgd door Dr. [**Laatse naam (STitel) 21267**] van Podiatrie voor chronische MTP ulcus aan de eerste teen, die nu aan het oplossen is. 	 Hij heeft een geschiedenis van diabetes 	 neutral 
Hij rapporteert artralgieën die enkele maanden duren en chronische rugpijn die deze morgen erger leek. 	 Hij heeft al maanden pijn 	 entailment 
Hij rapporteert artralgieën die enkele maanden duren en chronische rugpijn die deze morgen erger leek. 	 Hij ontkent pijn 	 contradiction 
Hij rapporteert artralgieën die enkele maanden duren en chronische rugpijn die deze morgen erger leek. 	 Hij heeft artritis 	 neutral 
Moeder is 29-jarige gravida 2, para 1 (nu 3) Koreaanse vrouw met een geschatte bevallingsdatum van [**2927-4-26**]. 	 De patiënt is zwanger. 	 entailment 
Moeder is 29-jarige gravida 2, para 1 (nu 3) Koreaanse vrouw met een geschatte bevallingsdatum van [**2927-4-26**]. 	 De patient is nooit zwanger geweest. 	 contradiction 
Moeder is 29-jarige gravida 2, para 1 (nu 3) Koreaanse vrouw met een geschatte bevallingsdatum van [**2927-4-26**]. 	 De patiënt heeft al eerder een vagina-bevalling gehad. 	 neutral 
Hoofd CT bij opname toont toegenomen oedeem en massa-effect van deze rechts frontale recidiverende GBM. 	 De patiënt heeft een hersenneoplasma 	 entailment 
Hoofd CT bij opname toont toegenomen oedeem en massa-effect van deze rechts frontale recidiverende GBM. 	 De patiënt heeft normale beeldvorming van de hersenen 	 contradiction 
Hoofd CT bij opname toont toegenomen oedeem en massa-effect van deze rechts frontale recidiverende GBM. 	 Patiënt heeft nodale ziekte 	 neutral 
Hij werd agressief gehydrateerd, kreeg PPI, een transfusie van in totaal 3 eenheden (om zijn hct > 28 te houden), een aantal van zijn medicijnen werden aangehouden (ASA, plavix, labetalol en felodipine). 	 de patiënt heeft een GI bloeding 	 entailment 
Hij werd agressief gehydrateerd, kreeg PPI, een transfusie van in totaal 3 eenheden (om zijn hct > 28 te houden), een aantal van zijn medicijnen werden aangehouden (ASA, plavix, labetalol en felodipine). 	 de patiënt niet bloedt 	 contradiction 
Hij werd agressief gehydrateerd, kreeg PPI, een transfusie van in totaal 3 eenheden (om zijn hct > 28 te houden), een aantal van zijn medicijnen werden aangehouden (ASA, plavix, labetalol en felodipine). 	 de patiënt heeft een lagere GI bloeding 	 neutral 
Familie is van Aziatisch-Chinese afkomst. 	 De patiënt heeft familie uit Azië. 	 entailment 
Familie is van Aziatisch-Chinese afkomst. 	 De patiënt is Kaukasisch. 	 contradiction 
Familie is van Aziatisch-Chinese afkomst. 	 De patiënt heeft hepatitis B. 	 neutral 
Pupillen waren 4 tot 2 mm bilateraal. 	 De pupillen zijn vernauwd. 	 entailment 
Pupillen waren 4 tot 2 mm bilateraal. 	 De patiënt heeft verwijde pupillen. 	 contradiction 
Pupillen waren 4 tot 2 mm bilateraal. 	 De patiënt heeft symmetrische pupillen. 	 neutral 
Ze waren uiteindelijk in staat om een rechter SC lijn te plaatsen. . 	 de patiënt heeft een rechter subclavische lijn 	 entailment 
Ze waren uiteindelijk in staat om een rechter SC lijn te plaatsen. . 	 de patiënt heeft geen centrale veneuze toegang 	 contradiction 
Ze waren uiteindelijk in staat om een rechter SC lijn te plaatsen. . 	 de patiënt heeft een slechte perifere toegang 	 neutral 
Er werd een follow-up MRI gemaakt op [**2745-9-25**], waarop nog hersenmetastasen te zien waren. 	 De patiënt heeft uitgezaaide ziekte 	 entailment 
Er werd een follow-up MRI gemaakt op [**2745-9-25**], waarop nog hersenmetastasen te zien waren. 	 De patiënt heeft geen maligniteit 	 contradiction 
Er werd een follow-up MRI gemaakt op [**2745-9-25**], waarop nog hersenmetastasen te zien waren. 	 Patiënt heeft darmkanker 	 neutral 
Atriale Fibrillatie 4. 	 de patiënt heeft atriale fibrillatie 	 entailment 
Atriale Fibrillatie 4. 	 de patiënt heeft een normaal hartritme 	 contradiction 
Atriale Fibrillatie 4. 	 het is paroxysmaal 	 neutral 
De gynaecoloog belde de huisarts en die zei dat ze een ambulance moesten bellen. 	 De patiënt werd gezien door ergotherapie. 	 entailment 
De gynaecoloog belde de huisarts en die zei dat ze een ambulance moesten bellen. 	 De patiënt heeft geen hoofdbehandelaar. 	 contradiction 
De gynaecoloog belde de huisarts en die zei dat ze een ambulance moesten bellen. 	 De patiënt had een recente beroerte. 	 neutral 
Status na hyper-CVAD x2 cycli in [**11/2663**] en 01/[**2663**]. 	 Voorgeschiedenis van kanker 	 entailment 
Status na hyper-CVAD x2 cycli in [**11/2663**] en 01/[**2663**]. 	 Geen voorgeschiedenis van kankerbehandeling 	 contradiction 
Status na hyper-CVAD x2 cycli in [**11/2663**] en 01/[**2663**]. 	 Voorgeschiedenis van non-Hodgkin lymfoom 	 neutral 
De patiënt gebruikte voor de opname Coumadin vanwege atriale fibrillatie. 	 De patiënt heeft een voorgeschiedenis van aritmie 	 entailment 
De patiënt gebruikte voor de opname Coumadin vanwege atriale fibrillatie. 	 De patiënt heeft geen voorgeschiedenis van aritmie 	 contradiction 
De patiënt gebruikte voor de opname Coumadin vanwege atriale fibrillatie. 	 De patiënt heeft een voorgeschiedenis van syncope 	 neutral 
Bilaterale cefhalische veneuze trombose in [**5-27**] 	 De patiënt had bilaterale tromboses in de bovenste ledematen. 	 entailment 
Bilaterale cefhalische veneuze trombose in [**5-27**] 	 De patiënt heeft geen voorgeschiedenis van bloedstolling. 	 contradiction 
Bilaterale cefhalische veneuze trombose in [**5-27**] 	 De patiënt neemt anticoagulantia. 	 neutral 
Gezien de occasionele agitatie, kreeg hij 5mg diazepam en werd in 4 pt dwangbuis geplaatst. 	 Hij vertoonde uit de hand gelopen gedrag 	 entailment 
Gezien de occasionele agitatie, kreeg hij 5mg diazepam en werd in 4 pt dwangbuis geplaatst. 	 Hij gedroeg zich gepast 	 contradiction 
Gezien de occasionele agitatie, kreeg hij 5mg diazepam en werd in 4 pt dwangbuis geplaatst. 	 Hij heeft een verleden van drugsmisbruik 	 neutral 
Ademhalingsmoeilijkheden syndroom. 	 Een syndroom waarbij er een verminderde zuurstofuitwisseling in de longen is. 	 entailment 
Ademhalingsmoeilijkheden syndroom. 	 Patiënten met respiratoir distress syndroom hebben een normale zuurstofuitwisseling in de longen. 	 contradiction 
Ademhalingsmoeilijkheden syndroom. 	 Patiënten met longontsteking ontwikkelen een acuut ademhalingsmoeilijkheden syndroom. 	 neutral 
Geen koorts of rillingen. 	 er zijn geen koortsen 	 entailment 
Geen koorts of rillingen. 	 de patiënt klaagt over koorts 	 contradiction 
Geen koorts of rillingen. 	 er is geen gewichtsverlies 	 neutral 
Hij werd gestart met een insuline infuus. 	 Hij had abnormale bloedsuikers 	 entailment 
Hij werd gestart met een insuline infuus. 	 Zijn bloedsuikers waren normaal 	 contradiction 
Hij werd gestart met een insuline infuus. 	 De patiënt ligt op de ICU 	 neutral 
Nierslagader vernauwing status na bilaterale renale stents. 	 De patient heeft chronische hypertensie gehad. 	 entailment 
Nierslagader vernauwing status na bilaterale renale stents. 	 De patiënt heeft nog nooit een endovasculaire procedure gehad. 	 contradiction 
Nierslagader vernauwing status na bilaterale renale stents. 	 De patiënt neemt een antihypertensivum. 	 neutral 
Eerst was ze aan PPN en daarna aan TPN. 	 Ze krijgt intraveneuze voeding 	 entailment 
Eerst was ze aan PPN en daarna aan TPN. 	 Ze eet met de mond 	 contradiction 
Eerst was ze aan PPN en daarna aan TPN. 	 Ze heeft een spijsverteringsstoornis en ligt in kritieke toestand 	 neutral 
Deze zwangerschap was in wezen onopvallend, behalve een opgelost subchorionisch hematoom. 	 Afgezien van een subchorionaal hematoom, was de zwangerschap ongecompliceerd. 	 entailment 
Deze zwangerschap was in wezen onopvallend, behalve een opgelost subchorionisch hematoom. 	 De zwangerschap werd gecompliceerd door zwangerschapsvergiftiging 	 contradiction 
Deze zwangerschap was in wezen onopvallend, behalve een opgelost subchorionisch hematoom. 	 De moeder is vaginaal ter wereld gekomen 	 neutral 
Hij vertoonde een diffuse vertraging die overeenkomt met een toxische/metabole encefalopathie. n opname reageerde hij bijna volledig niet op stem- en prikkelprikkels (geen echte sedatie door OSH, kleine hoeveelheden bij overplaatsing, geen sedativa terwijl hij hier was). 	 De patiënt heeft een veranderd sensorium 	 entailment 
Hij vertoonde een diffuse vertraging die overeenkomt met een toxische/metabole encefalopathie. n opname reageerde hij bijna volledig niet op stem- en prikkelprikkels (geen echte sedatie door OSH, kleine hoeveelheden bij overplaatsing, geen sedativa terwijl hij hier was). 	 Patiënt heeft normale MMSE 	 contradiction 
Hij vertoonde een diffuse vertraging die overeenkomt met een toxische/metabole encefalopathie. n opname reageerde hij bijna volledig niet op stem- en prikkelprikkels (geen echte sedatie door OSH, kleine hoeveelheden bij overplaatsing, geen sedativa terwijl hij hier was). 	 De patiënt is bedwelmd 	 neutral 
Een hoofd CT en CXR waren normaal. 	 De patiënt heeft geen hersenbloeding. 	 entailment 
Een hoofd CT en CXR waren normaal. 	 De patiënt heeft hydrocephalus. 	 contradiction 
Een hoofd CT en CXR waren normaal. 	 De patiënt heeft geen structurele hersenafwijking. 	 neutral 
EMS werd gebeld en bracht de patiënt naar een OSH. 	 De patiënt had medische hulp nodig 	 entailment 
EMS werd gebeld en bracht de patiënt naar een OSH. 	 De patiënt had geen medische hulp nodig 	 contradiction 
EMS werd gebeld en bracht de patiënt naar een OSH. 	 De patiënt was onstabiel 	 neutral 
Haar stamcelcollecties werden in acht dagen voltooid, waarbij meer dan 5 miljoen CD34 cellen/kg werden verzameld. 	 De patiënt kreeg medicatie om de stamcelproductie te stimuleren. 	 entailment 
